Team,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,OFG,OFGA,O3P,O3PA,O2P,O2PA,OFT,OFTA,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
Atlanta Hawks,41.4,91.8,13.0,37.0,28.4,54.8,17.6,23.4,11.6,34.5,25.8,8.2,5.1,17.0,23.6,113.3,42.8,90.5,12.4,34.4,30.4,56.1,21.5,28.3,10.6,35.4,26.9,9.9,5.5,15.0,22.2,119.4
Boston Celtics*,42.1,90.5,12.6,34.5,29.5,56.0,15.6,19.5,9.8,34.7,26.3,8.6,5.3,12.8,20.4,112.4,39.5,88.1,11.5,33.5,28.0,54.6,17.4,22.8,10.4,35.5,23.7,6.8,3.9,15.1,19.5,108.0
Brooklyn Nets*,40.3,89.7,12.8,36.2,27.5,53.6,19.0,25.5,11.0,35.6,23.8,6.6,4.1,15.1,21.5,112.2,42.2,92.5,10.3,30.3,31.9,62.1,17.6,22.8,11.0,35.2,23.7,7.8,5.3,13.5,22.0,112.3
Charlotte Hornets,40.2,89.8,11.9,33.9,28.3,55.8,18.4,23.1,9.9,33.9,23.2,7.2,4.9,12.2,18.9,110.7,41.9,89.2,12.1,33.5,29.8,55.6,15.9,20.2,10.1,35.7,26.0,6.9,6.0,13.5,20.6,111.8
Chicago Bulls,39.8,87.9,9.1,25.9,30.7,62.0,16.2,20.7,8.8,34.1,21.9,7.4,4.3,14.1,20.3,104.9,42.2,89.2,12.1,33.0,30.2,56.2,16.8,22.0,10.0,36.4,25.5,7.3,5.8,13.3,18.7,113.4
Cleveland Cavaliers,38.9,87.6,10.3,29.1,28.6,58.5,16.4,20.7,10.7,31.9,20.7,6.5,2.4,13.5,20.0,104.5,43.2,87.2,12.0,31.6,31.2,55.6,15.8,20.5,9.5,34.6,25.7,6.9,5.6,12.5,19.4,114.1
Dallas Mavericks,38.8,86.9,12.5,36.6,26.3,50.2,18.8,25.3,10.1,35.2,23.4,6.5,4.3,14.2,20.1,108.9,40.9,89.2,11.2,32.5,29.7,56.7,17.1,22.0,10.2,34.6,24.5,7.8,4.5,13.0,23.2,110.1
Denver Nuggets*,41.9,90.0,11.0,31.4,30.9,58.7,15.8,20.9,11.9,34.5,27.4,7.7,4.4,13.4,20.0,110.7,39.6,86.4,10.8,31.9,28.8,54.5,16.7,22.2,9.7,32.7,24.6,7.4,5.0,13.5,20.4,106.7
Detroit Pistons*,38.8,88.3,12.1,34.8,26.7,53.5,17.3,23.1,11.4,33.6,22.5,6.9,4.0,13.8,22.1,107.0,39.9,85.0,9.6,27.8,30.3,57.2,17.9,23.7,9.1,34.6,23.7,6.9,5.1,14.1,21.3,107.3
Golden State Warriors*,44.0,89.8,13.3,34.4,30.8,55.3,16.3,20.4,9.7,36.5,29.4,7.6,6.4,14.3,21.4,117.7,40.4,91.1,11.6,33.6,28.8,57.5,18.7,24.2,10.8,33.5,24.3,7.7,3.6,13.5,19.5,111.2
Houston Rockets*,39.2,87.4,16.1,45.4,23.1,42.0,19.3,24.4,10.2,31.9,21.2,8.5,4.9,13.3,22.0,113.9,40.4,86.7,10.1,29.8,30.3,56.9,18.2,23.7,11.0,34.5,23.5,7.4,4.5,15.0,20.0,109.1
Indiana Pacers*,41.3,87.0,9.5,25.4,31.8,61.6,15.8,21.1,9.3,33.7,26.0,8.7,4.9,13.7,19.4,108.0,38.7,86.1,11.4,32.1,27.4,54.0,15.8,21.0,10.5,33.1,24.5,7.4,5.2,15.7,20.0,104.7
Los Angeles Clippers*,41.3,87.5,10.0,25.8,31.3,61.7,22.6,28.5,9.7,35.8,24.0,6.8,4.7,14.5,23.3,115.1,41.7,91.3,10.4,30.2,31.4,61.1,20.5,26.3,11.3,34.5,24.1,8.3,6.1,13.2,24.0,114.3
Los Angeles Lakers,42.6,90.5,10.3,31.0,32.2,59.6,16.3,23.3,10.2,36.4,25.6,7.5,5.4,15.7,20.7,111.8,41.9,92.8,11.8,34.0,30.1,58.9,17.8,22.7,11.3,35.6,25.0,8.3,5.1,14.2,20.8,113.5
Memphis Grizzlies,38.0,84.4,9.9,28.9,28.1,55.6,17.7,23.0,8.8,33.0,23.9,8.3,5.5,14.0,22.0,103.5,37.6,83.4,11.6,32.2,26.0,51.2,19.3,24.7,9.5,35.2,23.4,7.6,4.9,15.2,21.4,106.1
Miami Heat,39.6,88.0,11.3,32.4,28.3,55.6,15.1,21.7,11.2,35.1,24.3,7.6,5.5,14.7,20.9,105.7,38.3,86.8,11.9,33.1,26.4,53.6,17.5,22.7,10.1,34.0,23.3,7.5,4.7,14.1,20.1,105.9
Milwaukee Bucks*,43.4,91.1,13.5,38.2,29.9,52.9,17.9,23.2,9.3,40.4,26.0,7.5,5.9,13.9,19.6,118.1,40.5,93.5,13.1,36.3,27.4,57.2,15.1,20.7,9.9,35.4,24.8,6.8,4.8,13.4,20.2,109.3
Minnesota Timberwolves,41.6,91.3,10.1,28.7,31.5,62.5,19.1,24.3,11.3,33.5,24.6,8.3,5.0,13.1,20.3,112.5,42.1,90.1,12.7,33.6,29.4,56.5,17.1,22.3,11.2,34.4,26.2,6.6,5.5,14.7,21.9,114.0
New Orleans Pelicans,43.7,92.2,10.3,29.9,33.4,62.4,17.8,23.4,11.1,36.2,27.0,7.4,5.4,14.8,21.1,115.4,43.3,92.8,12.3,33.7,31.0,59.1,17.9,23.5,11.0,34.8,26.5,8.6,5.4,13.6,21.0,116.8
New York Knicks,38.2,88.3,10.0,29.5,28.2,58.8,18.1,23.9,10.5,34.3,20.1,6.8,5.1,14.0,20.9,104.6,41.9,89.7,11.8,32.6,30.1,57.1,18.2,23.8,10.7,36.8,25.6,7.4,5.6,13.2,20.8,113.8
Oklahoma City Thunder*,42.6,94.0,11.4,32.6,31.3,61.3,17.8,25.0,12.6,35.5,23.4,9.3,5.2,14.0,22.4,114.5,40.8,88.7,11.2,31.6,29.5,57.1,18.3,24.0,9.9,35.8,24.9,8.2,5.1,16.7,22.5,111.1
Orlando Magic*,40.4,89.1,11.4,32.1,29.0,57.0,15.0,19.2,10.0,35.4,25.5,6.6,5.4,13.2,18.6,107.3,39.9,87.6,10.5,30.2,29.5,57.4,16.3,20.9,9.0,35.6,23.1,7.0,4.4,13.0,18.7,106.6
Philadelphia 76ers*,41.5,88.2,10.8,30.2,30.7,58.0,21.2,27.5,10.9,36.9,26.9,7.4,5.3,14.9,21.3,115.2,41.7,91.5,10.3,30.0,31.4,61.5,18.8,24.5,10.0,33.5,23.4,7.7,4.1,12.7,22.1,112.5
Phoenix Suns,40.1,87.4,9.6,29.3,30.5,58.1,17.6,22.7,9.1,31.3,23.9,9.0,5.1,15.6,23.6,107.5,42.5,88.2,11.1,29.9,31.3,58.2,20.8,27.6,11.8,35.3,25.9,9.0,5.0,15.7,20.7,116.8
Portland Trail Blazers*,42.3,90.6,11.0,30.7,31.3,59.8,19.0,23.3,11.8,36.2,23.0,6.7,5.0,13.8,20.4,114.7,41.1,90.0,10.7,29.8,30.4,60.3,17.5,22.8,10.3,32.6,23.2,7.4,5.1,12.4,20.7,110.5
Sacramento Kings,43.2,93.1,11.3,29.9,31.9,63.2,16.5,22.7,11.0,34.4,25.4,8.3,4.4,13.4,21.4,114.2,42.3,90.6,12.0,34.6,30.2,56.0,18.8,24.4,11.2,36.8,24.7,7.5,5.1,15.9,21.4,115.3
San Antonio Spurs*,42.3,88.4,9.9,25.3,32.4,63.1,17.2,21.0,9.2,35.5,24.5,6.1,4.7,12.1,18.1,111.7,41.5,89.7,11.7,32.7,29.8,57.0,15.2,20.2,9.2,34.7,24.7,7.2,4.0,12.2,19.6,110.0
Toronto Raptors*,42.2,89.1,12.4,33.8,29.8,55.3,17.7,22.0,9.6,35.6,25.4,8.3,5.3,14.0,21.0,114.4,40.3,89.7,10.8,31.2,29.5,58.5,17.1,22.3,10.6,34.2,24.5,7.6,4.5,14.9,20.5,108.4
Utah Jazz*,40.4,86.4,12.1,34.0,28.3,52.4,18.8,25.5,10.0,36.4,26.0,8.1,5.9,15.1,21.1,111.7,40.0,88.5,9.8,27.7,30.1,60.7,16.7,22.2,8.9,33.7,21.6,8.5,4.6,13.9,22.4,106.5
Washington Wizards,42.1,90.1,11.3,33.3,30.8,56.8,18.4,23.9,9.7,32.7,26.3,8.3,4.6,14.1,20.7,114.0,43.4,90.5,12.1,32.8,31.3,57.7,18.0,23.1,11.4,35.8,26.2,7.7,4.6,15.8,21.2,116.9